"","Projeto","...2","Ano","...4","Tipo","...6","Autor","...8","Ementa","...10","Situação"
"655",51,"   ",2019,NA,"Projeto de Lei",NA,"Wanderson Castelar",NA,"Institui o Bônus Melhor Pagador no Município de Juiz de Fora, e dá outras providências.",NA,"Arquivada"
"656",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"657",50,"   ",2019,NA,"Projeto de Lei",NA,"Wanderson Castelar",NA,"Institui a Agenda Cidadã no Município de Juiz de Fora, e dá outras providências.",NA,"Arquivada"
"658",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"659",49,"   ",2019,NA,"Projeto de Lei",NA,"Juraci Scheffer",NA,"Obriga a CEMIG a atender a solicitação de ligação nova de energia mediante simples comprovação de posse do imóvel a pedido do possuidor no Município de Juiz de Fora.",NA,"Transformado em Norma Jurídica"
"660",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"661",48,"   ",2019,NA,"Projeto de Lei",NA,"Wagner do Sindicato",NA,"Institui a Medalha Rui Barbosa para ser conferida a alunos destaque da rede pública de ensino.",NA,"Arquivada"
"662",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"663",47,"   ",2019,NA,"Projeto de Lei",NA,"Dr. Fiorilo",NA,"Altera a ementa e a redação do Art. 1º da Lei n° 13.155, de 23 de junho de 2015, que Proíbe a alimentação de pombos em espaço público do Município de Juiz de Fora, acrescentando os parágrafos 1° e 2° e dá outras providências.",NA,"Transformado em Norma Jurídica"
"664",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"665",46,"   ",2019,NA,"Projeto de Lei",NA,"Rodrigo Mattos",NA,"Dispõe sobre a proibição do fornecimento e utilização de copos plásticos descartáveis no Município de Juiz da Fora e dá outras providências.",NA,"Arquivada"
"666",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"667",45,"   ",2019,NA,"Projeto de Lei",NA,"Rodrigo Mattos",NA,"Dispõe sobre a revogação da Lei Municipal nº 11.755 de 23 de abril de 2009.",NA,"Transformado em Norma Jurídica"
"668",44,"   ",2019,NA,"Projeto de Lei",NA,"Dr. Fiorilo",NA,"Dispõe sobre denominação de Logradouro Público (Rua Sebastião Gerson de Castro).",NA,"Transformado em Norma Jurídica"
"669",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"670",43,"   ",2019,NA,"Projeto de Lei",NA,"Dr. Fiorilo",NA,"Dispõe sobre Denominação de Logradouro Público. (Rua Ivo Ferreira de Andrade)",NA,"Transformado em Norma Jurídica"
"671",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
